Order_ID,Order_Date,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Mode,City
100001,2023-12-02,CUST98,Home Decor,Wall Clock,3,30530,91590,Card,Pune
100002,2023-12-14,CUST477,Clothing,Sweater,3,54207,162621,Cash,Chennai
100003,2024-06-10,CUST768,Grocery,Tea Pack,3,14895,44685,Net Banking,Bangalore
100004,2024-09-23,CUST204,Grocery,Oil Pack,5,36260,181300,UPI,Chennai
100005,2023-06-27,CUST438,Clothing,Jeans,3,38042,114126,Card,Hyderabad
100006,2024-02-24,CUST759,Grocery,Flour Bag,2,28673,57346,Net Banking,Mumbai
100007,2024-06-27,CUST10,Clothing,Jeans,4,47422,189688,Card,Mumbai
100008,2024-09-14,CUST547,Grocery,Rice Bag,4,6517,26068,Cash,Kolkata
100009,2024-07-04,CUST578,Electronics,Laptop,3,53851,161553,Net Banking,Chennai
100010,2024-06-09,CUST360,Home Decor,Cushion,4,48529,194116,Cash,Delhi
100011,2024-08-05,CUST730,Clothing,Dress,1,59806,59806,Card,Mumbai
100012,2024-04-10,CUST246,Grocery,Flour Bag,1,48558,48558,Card,Delhi
100013,2024-11-22,CUST391,Clothing,Dress,3,24580,73740,Cash,Delhi
100014,2023-08-23,CUST337,Clothing,Jacket,3,54287,162861,Net Banking,Hyderabad
100015,2023-12-09,CUST599,Grocery,Rice Bag,5,7592,37960,Card,Delhi
100016,2023-07-31,CUST375,Grocery,Sugar Pack,2,56616,113232,Cash,Pune
100017,2023-05-03,CUST25,Grocery,Oil Pack,5,32360,161800,Net Banking,Mumbai
100018,2024-02-29,CUST774,Electronics,Mobile,5,21025,105125,Cash,Hyderabad
100019,2023-11-08,CUST271,Home Decor,Photo Frame,1,24886,24886,Net Banking,Mumbai
100020,2024-10-23,CUST569,Electronics,Smart Watch,1,39865,39865,Cash,Delhi
100021,2023-12-19,CUST752,Grocery,Flour Bag,4,16127,64508,Cash,Delhi
100022,2023-06-01,CUST334,Home Decor,Lamp,2,25531,51062,Card,Pune
100023,2023-05-25,CUST765,Clothing,Dress,4,18808,75232,Cash,Delhi
100024,2024-09-13,CUST606,Clothing,T-Shirt,1,47309,47309,Cash,Hyderabad
100025,2023-05-27,CUST761,Electronics,Smart Watch,1,11103,11103,Net Banking,Pune
100026,2024-12-29,CUST394,Electronics,Headphones,3,5607,16821,Cash,Hyderabad
100027,2023-04-14,CUST147,Grocery,Tea Pack,3,34572,103716,Cash,Bangalore
100028,2024-05-11,CUST44,Home Decor,Cushion,3,46964,140892,Cash,Kolkata
100029,2023-10-17,CUST563,Home Decor,Wall Clock,5,33244,166220,UPI,Pune
100030,2024-10-16,CUST743,Grocery,Sugar Pack,3,23304,69912,UPI,Mumbai
100031,2023-05-21,CUST245,Electronics,Headphones,5,5852,29260,UPI,Chennai
100032,2024-12-28,CUST716,Electronics,Tablet,1,53013,53013,Card,Bangalore
100033,2023-12-23,CUST28,Electronics,Mobile,5,55942,279710,Cash,Delhi
100034,2024-10-14,CUST367,Grocery,Tea Pack,1,44236,44236,UPI,Hyderabad
100035,2024-11-27,CUST386,Electronics,Headphones,5,15095,75475,Card,Delhi
100036,2024-09-29,CUST560,Grocery,Flour Bag,4,57334,229336,Cash,Hyderabad
100037,2024-07-16,CUST366,Clothing,Sweater,1,56047,56047,Card,Delhi
100038,2024-10-13,CUST248,Grocery,Oil Pack,5,13423,67115,Card,Delhi
100039,2024-12-26,CUST384,Clothing,T-Shirt,1,7886,7886,UPI,Pune
100040,2024-02-22,CUST41,Electronics,Smart Watch,4,5892,23568,Card,Bangalore
100041,2024-07-28,CUST670,Electronics,Tablet,3,12849,38547,UPI,Bangalore
100042,2024-11-05,CUST93,Electronics,Headphones,1,20770,20770,Net Banking,Chennai
100043,2024-08-27,CUST292,Home Decor,Lamp,1,40404,40404,UPI,Hyderabad
100044,2024-08-31,CUST745,Electronics,Tablet,2,44910,89820,UPI,Mumbai
100045,2023-08-19,CUST692,Grocery,Tea Pack,4,3319,13276,UPI,Chennai
100046,2024-06-14,CUST299,Home Decor,Wall Clock,4,5704,22816,UPI,Delhi
100047,2024-07-27,CUST151,Grocery,Sugar Pack,4,35403,141612,UPI,Delhi
100048,2023-09-21,CUST538,Electronics,Laptop,1,36215,36215,Net Banking,Mumbai
100049,2024-10-21,CUST722,Clothing,Jacket,4,42129,168516,Net Banking,Kolkata
100050,2024-08-19,CUST746,Grocery,Flour Bag,1,27709,27709,Net Banking,Delhi
100051,2024-06-05,CUST573,Clothing,Sweater,3,12163,36489,Card,Hyderabad
